Parcel ID,Location,Total Value,Lot size,Sale date,Bed/Bath,Price,lats/long,distance,d_0_4,d_4_8,d_8_12,d_12_16,Fukushima,Fdis1,Fdis2,Fdis3
109-000-007A-004,27  AGAWAM RD,"$399,000 ",36987,10/14/04,5,175000,"(41.84751325, -70.62436981)",7.027204438,0,1,0,0,0,0,0,0
030-000-048S-000,18  ALDEN TERR,"$257,100 ",11326,11/22/04,3,285000,"(41.96019605, -70.67933269)",5.420718661,0,1,0,0,0,0,0,0
055-000-040-034,141  ALEWIFE RD,"$437,600 ",76191,6/25/04,7,314000,"(41.81990683, -70.55909033)",8.536985891,0,0,1,0,0,0,0,0
055-000-040-042,86  ALEWIFE RD,"$267,500 ",20434,7/1/04,5,290000,"(41.82024305, -70.56049411)",8.50649424,0,0,1,0,0,0,0,0
108-000-006-052,16  ALLISON CIR,"$337,700 ",26532,8/6/04,3,261000,"(41.9269456, -70.74112476)",8.544628024,0,0,1,0,0,0,0,0
073-000-007-049,3  ANDREW`S WAY,"$392,900 ",24790,5/18/04,7,390000,"(41.8935075, -70.55224670000001)",3.634488875,1,0,0,0,0,0,0,0
074-000-032-006A,33  APRIL WAY,"$436,400 ",33938,8/2/04,7,347500,"(41.89841175, -70.56266925)",3.154459641,1,0,0,0,0,0,0,0
045-000-002-004,11  ARBORETUM RD,"$268,900 ",5458,12/29/04,5,299000,"(41.92804155, -70.56592490000001)",1.166168346,1,0,0,0,0,0,0,0
045-000-002-005,13  ARBORETUM RD,"$269,000 ",5227,5/28/04,5,285000,"(41.92799415, -70.56575405)",1.173253741,1,0,0,0,0,0,0,0
045-000-002-548,19  ARBORETUM RD,"$262,600 ",8276,10/29/04,3,267500,"(41.9277718, -70.56512109)",1.202579754,1,0,0,0,0,0,0,0
044-006-132-000,15  ARLINGTON RD,"$316,500 ",9148,1/9/04,5,324000,"(41.932431, -70.56710762)",0.875444157,1,0,0,0,0,0,0,0
045-000-039-218,34  ASIAF WAY,"$368,300 ",5001,5/4/04,5,195000,"(41.9252814, -70.55294916)",1.725322698,1,0,0,0,0,0,0,0
045-000-039-171,35  ASIAF WAY,"$223,400 ",5001,4/15/04,3,264500,"(41.92535845, -70.55344668)",1.703445289,1,0,0,0,0,0,0,0
045-000-039-174,41  ASIAF WAY,"$223,300 ",5001,8/24/04,3,259000,"(41.9249506, -70.55356715)",1.719256596,1,0,0,0,0,0,0,0
095-000-036-106,17  BALDWIN CIR,"$344,100 ",24354,4/20/04,5,340000,"(41.9246329, -70.70652095)",6.808000974,0,1,0,0,0,0,0,0
027-000-012A-004,14  BALTIC AV,"$292,800 ",31324,12/17/04,4,295000,"(41.94197175, -70.6627788)",4.435883405,0,1,0,0,0,0,0,0
073-000-007-122A,14  BARBARA`S WAY,"$510,100 ",87081,8/27/04,7,482200,"(41.89357885, -70.55643251)",3.560698209,1,0,0,0,0,0,0,0
077C-000-010-229,12  BARNSWALLOW,"$527,200 ",10698,2/4/04,5,586146,"(41.89277325, -70.59445772)",3.578633366,1,0,0,0,0,0,0,0
077C-000-010-250,28  BARNSWALLOW,"$505,700 ",9723,5/20/04,5,518271,"(41.89312445, -70.59565674)",3.571618428,1,0,0,0,0,0,0,0
046-000H-000I-018,15  BARTLETT AV,"$263,800 ",10890,7/23/04,4,295000,"(41.91418555, -70.55245426)",2.342848539,1,0,0,0,0,0,0,0
046-000H-000X-008,25  BARTLETT AV,"$207,200 ",16553,6/30/04,3,260000,"(41.91433814, -70.55300954)",2.318750039,1,0,0,0,0,0,0,0
003-000-015A-002,2  BASSETT`S WAY,"$342,200 ",36534,7/23/04,5,142500,"(41.9668347, -70.6930563)",6.217825952,0,1,0,0,0,0,0,0
043-000B-010-000,113  BAY SHORE DR,"$607,200 ",16117,5/27/04,7,680000,"(41.9476309, -70.59512511)",1.003936875,1,0,0,0,0,0,0,0
022-000-036A-000,25  BAY VIEW AV,"$343,200 ",6212,4/30/04,6,349000,"(41.9486055, -70.65653623)",4.132348423,0,1,0,0,0,0,0,0
072-000-004N-039,1  BAYDEN PATH,"$462,600 ",67914,8/11/04,5,639900,"(41.872851000000004, -70.551772)",5.002448664,0,1,0,0,0,0,0,0
122-000-005-046,28  BEATRICE AV,"$500,000 ",37422,7/29/04,6,491412,"(41.82562175, -70.58193849)",8.098623596,0,0,1,0,0,0,0,0
